x,y,pen_down
693,355,True
686,356,True
670,356,True
654,362,True
637,365,True
648,361,True
646,363,True
638,365,True
654,363,True
650,363,True
659,362,True
647,363,True
630,370,True
618,380,True
620,389,True
625,388,True
621,390,True
623,387,True
616,388,True
617,386,True
618,391,True
616,379,True
614,383,True
624,371,True
629,369,True
622,376,True
624,372,True
619,377,True
625,375,True
635,369,True
630,371,True
640,367,True
627,372,True
613,388,True
624,386,True
641,383,True
643,381,True
638,383,True
642,381,True
638,381,True
634,383,True
637,382,True
627,386,True
643,379,True
660,376,True
660,377,True
648,378,True
653,378,True
659,378,True
661,376,True
644,379,True
656,376,True
672,374,True
689,371,True
705,371,True
722,372,True
720,374,True
717,370,True
723,374,True
717,374,True
703,372,True
712,372,True
708,371,True
692,371,True
675,374,True
677,374,True
689,372,True
678,371,True
666,373,True
670,372,True
671,374,True
663,375,True
679,370,True
696,369,True
712,369,True
698,368,True
699,368,True
699,369,True
682,369,True
696,370,True
712,370,True
729,376,True
741,377,True
725,366,True
742,379,True
735,377,True
736,374,True
731,369,True
741,379,True
742,381,True
734,371,True
732,368,True
739,372,True
737,373,True
733,378,True
